ProfileID_i,_id,daytype,hour,kva_mean,kva_std,kw_mean,kw_std,month,total_hours_sum,valid_hours,valid_obs_ratio
12000770,1,Weekday,0,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,2,Weekday,1,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,3,Weekday,2,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,4,Weekday,3,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,5,Weekday,4,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,6,Weekday,5,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,7,Weekday,6,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,8,Weekday,7,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,9,Weekday,8,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,10,Weekday,9,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,11,Weekday,10,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,12,Weekday,11,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,13,Weekday,12,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,14,Weekday,13,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,15,Weekday,14,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,16,Weekday,15,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,17,Weekday,16,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,18,Weekday,17,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,19,Weekday,18,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,20,Weekday,19,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,21,Weekday,20,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,22,Weekday,21,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,23,Weekday,22,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,24,Weekday,23,0.0,0.0,0.0,0.0,1,21,0,0.0
12000770,25,Saturday,0,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,26,Saturday,1,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,27,Saturday,2,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,28,Saturday,3,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,29,Saturday,4,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,30,Saturday,5,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,31,Saturday,6,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,32,Saturday,7,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,33,Saturday,8,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,34,Saturday,9,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,35,Saturday,10,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,36,Saturday,11,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,37,Saturday,12,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,38,Saturday,13,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,39,Saturday,14,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,40,Saturday,15,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,41,Saturday,16,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,42,Saturday,17,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,43,Saturday,18,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,44,Saturday,19,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,45,Saturday,20,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,46,Saturday,21,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,47,Saturday,22,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,48,Saturday,23,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,49,Sunday,0,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,50,Sunday,1,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,51,Sunday,2,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,52,Sunday,3,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,53,Sunday,4,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,54,Sunday,5,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,55,Sunday,6,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,56,Sunday,7,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,57,Sunday,8,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,58,Sunday,9,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,59,Sunday,10,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,60,Sunday,11,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,61,Sunday,12,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,62,Sunday,13,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,63,Sunday,14,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,64,Sunday,15,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,65,Sunday,16,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,66,Sunday,17,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,67,Sunday,18,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,68,Sunday,19,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,69,Sunday,20,0.0,0.0,0.0,0.0,1,5,0,0.0
12000770,70,Sunday,21,0.0,0.0,0.0,0.0,1,5,0,0.0
