ProfileID_i,_id,daytype,hour,kw_mean,kw_std,month,total_hours_sum,valid_hours,valid_obs_ratio
1000176,1,Weekday,0,0.006196465549516909,0.00035538480823135384,1,23,0,0
1000176,2,Weekday,1,0.006207467995169083,0.0003254049332767406,1,23,0,0
1000176,3,Weekday,2,0.006301948248792271,0.0003384303197058496,1,23,0,0
1000176,4,Weekday,3,0.006337343146135266,0.00033081805103327594,1,23,0,0
1000176,5,Weekday,4,0.006165039885265702,0.00036497088191330074,1,23,0,0
1000176,6,Weekday,5,0.005787678079710146,0.00047072932227887055,1,23,0,0
1000176,7,Weekday,6,0.005521030042270531,0.0004332245344154352,1,23,0,0
1000176,8,Weekday,7,0.005293712016908213,0.0003253581898780819,1,23,0,0
1000176,9,Weekday,8,0.00532768952294686,0.00042168397881356233,1,23,0,0
1000176,10,Weekday,9,0.005316756491545894,0.0004223328885885699,1,23,0,0
1000176,11,Weekday,10,0.005199997282608695,0.00039690899670729234,1,23,0,0
1000176,12,Weekday,11,0.005037360500009981,0.0004580895486163539,1,23,0,0
1000176,13,Weekday,12,0.005205178140096619,0.0004023292637634855,1,23,0,0
1000176,14,Weekday,13,0.005152149033816424,0.0004031033083457963,1,23,0,0
1000176,15,Weekday,14,0.005226494329710144,0.00045815667228912566,1,23,0,0
1000176,16,Weekday,15,0.005161195193236714,0.000445502349817749,1,23,0,0
1000176,17,Weekday,16,0.005393823282608695,0.0003556371939852728,1,23,0,0
1000176,18,Weekday,17,0.005429558665458938,0.000378668739379118,1,23,0,0
1000176,19,Weekday,18,0.005359451902173913,0.0003380223591292436,1,23,0,0
1000176,20,Weekday,19,0.004791117663043476,0.00026811988904561337,1,23,0,0
1000176,21,Weekday,20,0.005177330344202898,0.0004277263557796306,1,23,0,0
1000176,22,Weekday,21,0.00584532216183575,0.00039647815942686106,1,23,0,0
1000176,23,Weekday,22,0.006169865730676328,0.0003571023200366454,1,23,0,0
1000176,24,Weekday,23,0.006205447675120774,0.0003856189284083614,1,23,0,0
1000176,25,Saturday,0,0.006259457812500001,0.0001591694308894548,1,4,0,0
1000176,26,Saturday,1,0.006353450520833334,0.00017057146553418624,1,4,0,0
1000176,27,Saturday,2,0.006514090972222224,0.00010067809744544286,1,4,0,0
1000176,28,Saturday,3,0.006556344444444445,0.00021229684201157204,1,4,0,0
1000176,29,Saturday,4,0.006474804687500002,0.00022661980065758142,1,4,0,0
1000176,30,Saturday,5,0.006295598611111113,0.0003250190356545422,1,4,0,0
1000176,31,Saturday,6,0.006066471006944446,0.00032548685935716246,1,4,0,0
1000176,32,Saturday,7,0.005485674305555555,0.0004809516420484845,1,4,0,0
1000176,33,Saturday,8,0.005433684027777778,0.0003977132293002299,1,4,0,0
1000176,34,Saturday,9,0.0053589671875,0.0005394181699714524,1,4,0,0
1000176,35,Saturday,10,0.005547627256944444,0.0006027773083084497,1,4,0,0
1000176,36,Saturday,11,0.005315868749999999,0.00048571520618012116,1,4,0,0
1000176,37,Saturday,12,0.005367683159722221,0.00022317569695024054,1,4,0,0
1000176,38,Saturday,13,0.0052803468749999995,0.0002513724905400148,1,4,0,0
1000176,39,Saturday,14,0.005376067708333334,0.00035043672791508447,1,4,0,0
1000176,40,Saturday,15,0.0054594841180555555,0.0006472977921213139,1,4,0,0
1000176,41,Saturday,16,0.0055003159722222215,0.00048166040033075766,1,4,0,0
1000176,42,Saturday,17,0.005581860590277779,0.00035958133329172954,1,4,0,0
1000176,43,Saturday,18,0.0056715979166666675,0.00048587887109730803,1,4,0,0
1000176,44,Saturday,19,0.004923373958333333,0.0003863993685493491,1,4,0,0
1000176,45,Saturday,20,0.005315676736111111,0.0003872292786776427,1,4,0,0
1000176,46,Saturday,21,0.006113257291666666,0.0003138800009017491,1,4,0,0
1000176,47,Saturday,22,0.006442292881944446,0.000314277182407199,1,4,0,0
1000176,48,Saturday,23,0.0065248472222222235,0.00028835351974703126,1,4,0,0
1000176,49,Sunday,0,0.006524563541666668,0.00018356657990969174,1,4,0,0
1000176,50,Sunday,1,0.006569299305555557,0.0002992296929031361,1,4,0,0
1000176,51,Sunday,2,0.006547790277777779,0.000261243722397848,1,4,0,0
1000176,52,Sunday,3,0.006548294444444446,0.00022480434252196175,1,4,0,0
1000176,53,Sunday,4,0.006421631250000001,0.00009469656924609436,1,4,0,0
1000176,54,Sunday,5,0.006262315798611112,0.0001709483011756043,1,4,0,0
1000176,55,Sunday,6,0.005864632986111113,0.0002626380421258779,1,4,0,0
1000176,56,Sunday,7,0.005463313368055556,0.0003465725063193885,1,4,0,0
1000176,57,Sunday,8,0.005296861979166666,0.00048075372880665445,1,4,0,0
1000176,58,Sunday,9,0.005201273958333334,0.00023999876794837397,1,4,0,0
1000176,59,Sunday,10,0.005041967881944444,0.000289407540442228,1,4,0,0
1000176,60,Sunday,11,0.005242922743055555,0.00044036337977541705,1,4,0,0
1000176,61,Sunday,12,0.005191508333333333,0.000371768230455383,1,4,0,0
1000176,62,Sunday,13,0.005304173263888889,0.0002219641691338402,1,4,0,0
1000176,63,Sunday,14,0.0052735286458333325,0.00024339657091955043,1,4,0,0
1000176,64,Sunday,15,0.00523326579861111,0.00020634934013164985,1,4,0,0
1000176,65,Sunday,16,0.005389832465277778,0.00011643747420994107,1,4,0,0
1000176,66,Sunday,17,0.005342893749999999,0.0003343639004820978,1,4,0,0
1000176,67,Sunday,18,0.005418065972222222,0.0004085630767167432,1,4,0,0
1000176,68,Sunday,19,0.004921225520833333,0.00035332163436056335,1,4,0,0
1000176,69,Sunday,20,0.0052148789930555545,0.00040908310375226196,1,4,0,0
1000176,70,Sunday,21,0.005559011458333334,0.00034426752225089264,1,4,0,0
1000176,71,Sunday,22,0.006064351388888889,0.00028947027816664066,1,4,0,0
1000176,72,Sunday,23,0.00617618576388889,0.00028400414544359697,1,4,0,0
1000176,73,Weekday,0,0.006018138368055555,0.0004269530339292505,2,12,0,0
1000176,74,Weekday,1,0.00608684346064815,0.0004485266968342951,2,12,0,0
1000176,75,Weekday,2,0.006211396585648149,0.0004045021748939536,2,12,0,0
1000176,76,Weekday,3,0.0061787682870370385,0.00042728339463339235,2,12,0,0
1000176,77,Weekday,4,0.006048803240740742,0.00041500639396486213,2,12,0,0
1000176,78,Weekday,5,0.0054699046875,0.00036819021603771323,2,12,0,0
1000176,79,Weekday,6,0.005203575578703703,0.00035479423298095486,2,12,0,0
1000176,80,Weekday,7,0.005199540277777777,0.00036365311075702586,2,12,0,0
1000176,81,Weekday,8,0.005198704456018519,0.00036682100185478567,2,12,0,0
1000176,82,Weekday,9,0.005243097138888889,0.0004176670032014814,2,12,0,0
1000176,83,Weekday,10,0.005162871022727273,0.00036104451514914316,2,11,0,0
1000176,84,Weekday,11,0.00494819696969697,0.00030442610386296077,2,11,0,0
1000176,85,Weekday,12,0.005143860732323231,0.0002474015646594144,2,11,0,0
1000176,86,Weekday,13,0.004931627335858585,0.00028219926074987,2,11,0,0
1000176,87,Weekday,14,0.00498355119949495,0.00020593100376823024,2,11,0,0
