Average,EndDate,Maximum,Minimum,ProfileID,ReadingsCount,StartDate,StdDeviation,_id
10.517148612936019,2000-08-05T16:20:00,50.43600082397461,0.0020000000949949026,4673,68837,1999-12-10T14:35:00,7.221067914542639,1
0.005472100714878124,2000-08-05T16:20:00,0.010999999940395355,0.004000000189989805,4675,68837,1999-12-10T14:35:00,0.0008602244205800122,2
2.889708342869453,2000-10-07T12:20:00,37.417999267578125,0.06400000303983688,4713,86907,1999-12-10T15:00:00,4.831850839997608,3
4.293797726035593,2000-10-07T12:20:00,39.85900115966797,0.061000000685453415,4715,86907,1999-12-10T15:00:00,5.238640220454396,4
0.06560155186045877,2000-10-07T12:20:00,0.07400000095367432,0.06300000101327896,4717,86907,1999-12-10T15:00:00,0.0013311695827092796,5
2.0272832919765063,2000-10-07T12:20:00,36.66400146484375,0.06700000166893005,4719,86907,1999-12-10T15:00:00,3.7623391812450704,6
3.981874038760502,2000-10-07T12:20:00,52.19300079345703,0.1420000046491623,4721,86907,1999-12-10T15:00:00,5.511522547428804,7
4.96545018256345,2000-10-07T12:20:00,47.77000045776367,0.07800000160932541,4723,86907,1999-12-10T15:00:00,5.812469114976347,8
3.545711542222792,2000-10-07T12:20:00,39.474998474121094,0.061000000685453415,4725,86907,1999-12-10T15:00:00,5.029576860323038,9
4.58369777405895,2000-10-07T12:24:59.997000,51.13800048828125,0.12999999523162842,4727,86905,1999-12-10T15:00:00,6.394276351722816,10
4.957907347276971,2000-10-07T12:24:59.997000,41.43299865722656,0.004999999888241291,4729,86905,1999-12-10T15:00:00,5.142990753920204,11
0.006761555730899813,2000-10-07T12:24:59.997000,0.06199999898672104,0.004000000189989805,4731,86905,1999-12-10T15:00:00,0.00210413385342054,12
2.248599355734701,2000-10-07T12:24:59.997000,35.73400115966797,0.00800000037997961,4733,86905,1999-12-10T15:00:00,4.19113785185622,13
1.0204563373526498,2000-10-07T12:24:59.997000,8.32800006866455,0.48399999737739563,4735,86905,1999-12-10T15:00:00,0.9102420956106583,14
3.592039122642986,2000-10-07T12:24:59.997000,37.40399932861328,0.019999999552965164,4737,86905,1999-12-10T15:00:00,4.191864778283013,15
4.690694356579422,2000-10-07T12:24:59.997000,45.619998931884766,0.004000000189989805,4739,86905,1999-12-10T15:00:00,6.241349184041346,16
3.2555122189761696,2000-10-07T12:54:59.997000,54.34199905395508,0.004000000189989805,4741,86912,1999-12-10T15:04:59.997000,5.33547913743071,17
1.5534010030410152,2000-10-07T12:54:59.997000,22.58099937438965,0.18299999833106995,4743,86912,1999-12-10T15:04:59.997000,2.605688234154616,18
0.013208694048880823,2000-10-07T12:54:59.997000,0.023000000044703484,0.008999999612569809,4745,86912,1999-12-10T15:04:59.997000,0.0012899738007193088,19
10.28867533731834,2000-10-07T12:54:59.997000,53.81800079345703,0.004999999888241291,4747,86912,1999-12-10T15:04:59.997000,7.875448853426362,20
5.095617625190132,2000-10-07T12:54:59.997000,41.23500061035156,0.008999999612569809,4749,86912,1999-12-10T15:04:59.997000,6.013011631734454,21
