ContextID,District,Dom_NonDom,GroupID,Lat,LocName,Location,Long,Municipality,Province,Survey,Year
2,Ehlanzeni,Domestic LR,1000036,-25.7,Driekoppies,2005 Driekoppies,31.55,Nkomazi,MP,Eskom LR,2005
2,Ngaka Modiri Molema,Domestic LR,1000054,-25.44,Dinokana,2006 Dinokana,25.86,Ramotshere Moiloa,NW,Eskom LR,2006
2,Ehlanzeni,Domestic LR,1000055,-25.7,Driekoppies,2006 Driekoppies,31.55,Nkomazi,MP,Eskom LR,2006
2,City of Cape Town,Domestic LR,1000056,-34.04,Khayalitsha,2006 Khayalitsha,18.69,City of Cape Town,WC,Eskom LR,2006
2,Uthungulu,Domestic LR,1000057,-28.75,Matshana,2006 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2006
2,Uthukela,Domestic LR,1000059,-28.44,Peacetown,2006 Peacetown,29.74,Alfred Duma,KZN,Eskom LR,2006
2,Nkangala,Domestic LR,1000060,-25.33,Vlaklaagte,2006 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2006
2,City of Cape Town,Domestic LR,1000063,-34.04,Khayalitsha,2007 Khayalitsha,18.69,City of Cape Town,WC,Eskom LR,2007
2,Uthungulu,Domestic LR,1000064,-28.75,Matshana,2007 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2007
2,Uthukela,Domestic LR,1000065,-28.44,Peacetown,2007 Peacetown,29.74,Alfred Duma,KZN,Eskom LR,2007
2,Nkangala,Domestic LR,1000066,-25.33,Vlaklaagte,2007 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2007
2,Ngaka Modiri Molema,Domestic LR,1000062,-25.44,Dinokana,2007 Dinokana,25.86,Ramotshere Moiloa,NW,Eskom LR,2007
2,Ngaka Modiri Molema,Domestic LR,1000075,-25.44,Dinokana,2008 Dinokana,25.86,Ramotshere Moiloa,NW,Eskom LR,2008
2,City of Cape Town,Domestic LR,1000076,-34.04,Khayalitsha,2008 Khayalitsha,18.69,City of Cape Town,WC,Eskom LR,2008
2,Uthungulu,Domestic LR,1000077,-28.75,Matshana,2008 Matshana,31.85,uMhlathuze,KZN,Eskom LR,2008
2,Uthukela,Domestic LR,1000078,-28.44,Peacetown,2008 Peacetown,29.74,Alfred Duma,KZN,Eskom LR,2008
2,Nkangala,Domestic LR,1000079,-25.33,Vlaklaagte,2008 Vlaklaagte,28.87,Thembisile,MP,Eskom LR,2008
2,Ngaka Modiri Molema,Domestic LR,1000081,-25.44,Dinokana,2009 Dinokana,25.86,Ramotshere Moiloa,NW,Eskom LR,2009
2,City of Cape Town,Domestic LR,1000082,-34.04,Khayalitsha,2009 Khayalitsha,18.69,City of Cape Town,WC,Eskom LR,2009
